Treatment,Tray,Family,FamilyMember,FamilyPhenology,ID,DOYFirstBolt,StemDiameter1,StemDiameter2,StemDiameter1Notes,DOYPlantWilt,FloweringDOY,HeightFirstFlower,FlowerDiameter1,FlowerDiameter2,FlowerDiameter3,AverageFlowerDiameter,Leaf_Images_Number,Stomata_Circled,Stomata_Counted,Stomata_Number_Image1,Stomata_Number_Image2,Stomata_Number_Image3,Stomata_Number_Average,Stomata_Density,Stomata_Length_Image1_1,Stomata_Length_Image1_2,Stomata_Length_Image1_3,Stomata_Length_Image2_1,Stomata_Length_Image2_2,Stomata_Length_Image2_3,Stomata_Length_Image3_1,Stomata_Length_Image3_2,Stomata_Length_Image3_3,Stomata_Length_Average,Fruit_Production,Fruit_Mass
Control,A,1,2,Early,57,179,1.04,3.86,NA,NA,188,180.93,8.57,11.05,10.88,10.16666667,3,yes,yes,12,10,10,10.66666667,121.4542282,1.7,1.685,2.132,1.431,1.722,1.562,2.07,1.519,1.706,17.25222222,1,0.4964
Control,A,1,3,Early,64,179,1.05,4.52,NA,NA,187,91.81,11.34,10.52,10.47,10.77666667,3,yes,yes,14,13,14,13.66666667,155.6132299,1.833,1.705,1.852,1.581,1.965,1.6,1.62,1.753,1.77,17.42111111,1,0.0694
Control,A,1,4,Early,70,179,1,2.47,NA,NA,185,93.82,8.24,10.76,8.96,9.32,3,yes,yes,20,16,21,19,216.340344,1.642,1.647,1.294,1.523,1.682,1.677,1.577,1.768,1.565,15.97222222,1,0.1649
Control,A,1,5,Early,77,179,1.3,3.3,NA,NA,188,146.79,10.95,11.1,10.41,10.82,3,yes,yes,8,11,8,9,102.4770051,1.989,1.958,1.927,1.955,1.688,1.551,1.821,1.863,1.876,18.47555556,0,NA
Control,A,1,6,Early,82,179,1.69,3.68,NA,NA,190,147.21,10.72,11.18,11.56,11.15333333,3,yes,yes,17,13,15,15,170.7950084,1.512,1.359,1.475,1.267,1.543,1.542,1.396,1.548,1.6,14.71333333,0,NA
Control,A,1,1,Early,136,179,0.57,2.04,NA,NA,190,74.95,10.83,9.06,10.26,10.05,3,yes,yes,11,10,7,9.333333333,106.2724497,1.441,1.219,1.236,1.366,1.271,1.359,1.364,1.248,1.315,13.13222222,1,0.1827
Control,A,2,1,EarlyIntermediate,88,179,1.39,3.37,NA,NA,186,126.59,10.71,9.25,10.27,10.07666667,3,yes,yes,10,5,11,8.666666667,98.68156042,2.06,1.867,1.938,1.859,2.069,2.094,1.899,1.845,1.798,19.36555556,1,0.4512
Control,A,2,2,EarlyIntermediate,139,179,1.97,4.01,NA,NA,195,310.56,11.88,12.04,11.45,11.79,3,yes,yes,8,7,6,7,79.70433726,1.851,2.008,1.55,1.749,1.712,1.566,1.82,2.291,2.219,18.62888889,0,NA
Control,A,2,3,EarlyIntermediate,145,179,0.44,4.18,NA,NA,189,123.13,12.75,11.93,12.86,12.51333333,3,yes,yes,11,9,11,10.33333333,117.6587836,2.098,1.729,1.762,1.752,1.684,2.165,1.964,2.142,2.042,19.26444444,0,NA
Control,A,2,4,EarlyIntermediate,152,179,1.64,3.46,NA,NA,188,90.12,10.4,13.25,11.39,11.68,3,yes,yes,14,10,12,12,136.6360067,1.637,1.7,1.638,1.659,1.655,1.951,1.58,1.603,1.673,16.77333333,1,0.477
Control,A,2,5,EarlyIntermediate,157,179,0.72,2.2,NA,NA,186,150.56,15.61,13.54,12.72,13.95666667,3,yes,yes,9,12,12,11,125.2496728,1.608,1.759,1.763,2.003,2.009,2.057,2.03,2.224,1.746,19.11,1,0.0917
Control,A,2,6,EarlyIntermediate,162,179,1.63,3.23,NA,NA,188,105.34,11.11,9.51,10.69,10.43666667,3,yes,yes,8,7,11,8.666666667,98.68156042,1.49,1.63,1.331,1.669,1.515,1.514,1.63,1.583,1.558,15.46666667,0,NA
Control,B,1,1,Early,40,179,1.17,2.59,NA,NA,187,94.42,9.94,8.76,10.96,9.886666667,3,yes,yes,9,10,9,9.333333333,106.2724497,1.776,1.886,1.854,1.811,2.072,2.062,1.922,2.024,1.686,18.99222222,1,0.2326
Control,B,1,2,Early,60,179,1.2,3.19,NA,NA,188,81.72,9.12,10.51,12.15,10.59333333,3,yes,yes,7,8,7,7.333333333,83.49978189,1.612,1.865,1.959,2.365,1.995,2.406,1.985,1.886,2.065,20.15333333,1,0.4451
Control,B,1,3,Early,65,179,0.85,2.38,NA,NA,189,67.99,10.18,8.64,8.45,9.09,3,yes,yes,7,9,8,8,91.09067116,2.001,1.509,1.596,1.731,2.068,1.821,1.641,1.506,1.751,17.36,1,0.0306
Control,B,1,4,Early,71,179,1.51,4.21,measured directly below cotelydon,NA,187,107.54,10.99,13.81,12.6,12.46666667,3,yes,yes,10,11,10,10.33333333,117.6587836,1.619,1.708,1.37,1.61,1.469,1.886,1.754,1.688,1.528,16.25777778,1,1.2707
Control,B,1,5,Early,78,179,1.12,3.38,NA,NA,188,94.75,10.49,12.14,12.08,11.57,3,yes,yes,9,11,15,11.66666667,132.8405621,1.644,1.904,1.969,2.085,1.805,1.449,1.376,1.665,1.558,17.17222222,0,NA
Control,B,1,6,Early,83,179,1.32,4.13,NA,NA,187,163.9,11.43,14.14,12.38,12.65,3,yes,yes,13,10,12,11.66666667,132.8405621,1.425,1.558,1.641,1.492,1.476,1.279,1.287,1.631,1.351,14.6,0,NA
Control,B,2,1,EarlyIntermediate,91,179,1.34,3.31,NA,NA,188,171.03,9.69,9.5,9.92,9.703333333,3,yes,yes,7,8,8,7.666666667,87.29522652,1.751,1.76,2.117,2.001,1.927,2.02,2.027,1.884,1.603,18.98888889,1,0.1371
Control,B,2,2,EarlyIntermediate,142,179,0.82,1.41,measured directly below the cotelydon,NA,187,68.59,13.11,12.55,12.92,12.86,3,yes,yes,9,9,11,9.666666667,110.0678943,1.767,1.47,1.97,1.635,1.419,1.792,1.481,1.636,1.487,16.28555556,0,NA
Control,B,2,3,EarlyIntermediate,146,179,1.46,3,NA,NA,188,132.7,12.15,12.61,14.4,13.05333333,3,yes,yes,8,8,16,10.66666667,121.4542282,1.727,1.382,1.517,1.616,1.554,1.265,1.446,1.615,0.937,14.51,0,NA
Control,B,2,4,EarlyIntermediate,154,179,0.72,2.61,NA,NA,188,100.59,11.69,12.02,13.65,12.45333333,3,yes,yes,8,7,9,8,91.09067116,1.781,1.693,1.514,1.457,1.334,1.687,1.57,1.641,1.446,15.69222222,0,NA
Control,B,2,5,EarlyIntermediate,158,179,0.92,4.2,NA,NA,189,114.29,11.3,11.79,13.88,12.32333333,3,yes,yes,13,17,14,14.66666667,166.9995638,1.241,1.33,1.524,1.295,1.538,1.407,1.382,1.595,1.516,14.25333333,1,0.7858
